county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
DeKalb AL,71513,2.69,0.176,0.79,0.67,0.188,39233,0.213,91.5
Dallas AL,37196,2.41,0.189,0.718,0.634,0.114,31602,0.314,44.8
Dale AL,49172,2.57,0.173,0.844,0.729,0.11,45960,0.162,89.6
Cullman AL,83768,2.64,0.188,0.813,0.699,0.138,42558,0.145,109.4
Crenshaw AL,13772,2.73,0.194,0.709,0.596,0.128,39812,0.195,22.8
Conecuh AL,12067,2.73,0.235,0.576,0.472,0.125,33177,0.244,15.6
Pasco FL,553947,2.52,0.226,0.887,0.803,0.148,50417,0.126,622.2
Palm Beach FL,1496770,2.60,0.244,0.909,0.831,0.179,59943,0.122,670.2
Osceola FL,375751,3.40,0.135,0.856,0.768,0.151,50063,0.134,202.4
Orange FL,1393452,2.81,0.123,0.933,0.854,0.148,54335,0.156,1,268.5
Okeechobee FL,42168,2.73,0.201,0.802,0.596,0.223,40367,0.215,52.0
Okaloosa FL,210738,2.52,0.163,0.914,0.818,0.132,62048,0.127,194.4
Seminole FL,471826,2.70,0.16,0.946,0.894,0.126,63760,0.099,1,367.0
Sarasota FL,433742,2.25,0.373,0.905,0.836,0.166,58644,0.103,682.6
Santa Rosa FL,184313,2.68,0.163,0.939,0.864,0.119,66242,0.095,149.6
Putnam FL,74521,2.52,0.237,0.793,0.679,0.181,35649,0.188,102.2
Polk FL,724777,2.84,0.204,0.855,0.666,0.154,48500,0.157,334.9
Pinellas FL,974996,2.31,0.254,0.882,0.806,0.152,51454,0.117,3,347.5
Baldwin GA,44890,2.54,0.165,0.805,0.705,0.161,39426,0.238,177.3
Bacon GA,11164,2.65,0.168,0.796,0.63,0.194,36964,0.228,42.9
Atkinson GA,8165,2.95,0.145,0.736,0.554,0.249,34877,0.261,24.7
Walton FL,74071,2.42,0.202,0.887,0.799,0.169,53785,0.114,53.0
Volusia FL,553284,2.43,0.249,0.897,0.779,0.156,46760,0.132,449.2
Suwannee FL,44417,2.81,0.217,0.828,0.752,0.181,42686,0.193,60.3
Brooks GA,15457,2.44,0.2,0.803,0.665,0.2,34322,0.245,32.9
Brantley GA,19109,2.82,0.172,0.809,0.615,0.189,37031,0.183,41.6
Bleckley GA,12873,2.71,0.171,0.757,0.646,0.146,45029,0.187,60.5
Bibb GA,153159,2.54,0.16,0.835,0.716,0.16,39931,0.247,622.8
Berrien GA,19397,2.57,0.172,0.772,0.598,0.204,37163,0.218,42.7
Ben Hill GA,16700,2.56,0.179,0.725,0.558,0.157,32705,0.262,70.5
Catoosa GA,67580,2.67,0.182,0.88,0.805,0.139,55125,0.119,394.3
Camden GA,54666,2.64,0.142,0.908,0.834,0.142,56397,0.158,82.4
Calhoun ciGA,17271,2.74,0.135,0.803,0.678,0.248,35890,0.288,1,048.2
Burke GA,22383,2.73,0.16,0.831,0.665,0.14,42773,0.22,28.2
Bulloch GA,79608,2.47,0.116,0.887,0.732,0.159,41789,0.229,104.4
Cobb GA,760141,2.65,0.127,0.957,0.897,0.142,75153,0.091,2,026.4
Clayton GA,292256,2.95,0.096,0.913,0.772,0.185,45778,0.176,1,832.5
Clarke GA,128331,2.41,0.113,0.902,0.8,0.182,36889,0.27,979.1
Cherokee GA,258773,2.80,0.145,0.953,0.918,0.141,79670,0.074,508.3
Chattahoochee GA,10907,2.83,0.049,0.858,0.784,0.104,46453,0.173,45.3
Chatham GA,289430,2.54,0.16,0.911,0.837,0.165,54911,0.144,621.7
Crisp GA,22372,2.69,0.193,0.759,0.59,0.165,35096,0.274,86.0
Coweta GA,148509,2.73,0.143,0.912,0.833,0.139,70717,0.102,288.8
Cook GA,17270,2.73,0.168,0.762,0.605,0.187,38408,0.245,75.8
Columbia GA,156714,3.13,0.14,0.925,0.809,0.102,76938,0.071,427.6
Colquitt GA,45600,2.92,0.161,0.823,0.709,0.238,35472,0.239,83.6
Coffee GA,43273,2.73,0.141,0.764,0.619,0.195,38266,0.239,73.7
Effingham GA,64296,2.85,0.119,0.921,0.829,0.135,65153,0.083,109.4
Early GA,10190,2.50,0.193,0.646,0.545,0.139,31567,0.265,21.5
Douglas GA,146343,2.87,0.119,0.932,0.791,0.149,62147,0.126,661.8
DeKalb GA,759297,2.63,0.129,0.924,0.829,0.171,59280,0.143,2,585.7
Decatur GA,26404,2.53,0.167,0.632,0.523,0.184,39148,0.232,46.6
Dawson GA,26108,2.72,0.202,0.92,0.831,0.159,65805,0.087,105.9
