"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54327,"New Mexico","2020-08-20",0.78107299279533,0.199531399747758,2.35179341802845,648.524439109431,577.527840421884,803.992584433271,0.78107299279533,0.199531399747758,2.35179341802845,648.524439109431,577.527840421884,803.992584433271,"projected",-8.0237894355235,,,,48.2776720782223,13.5392671596608,158.165634648444
54328,"New Mexico","2020-08-21",0.74941032148009,0.190762786139507,2.27855871362514,649.273849430911,577.758235389746,805.432930016255,0.74941032148009,0.190762786139507,2.27855871362514,649.273849430911,577.758235389746,805.432930016255,"projected",-7.80704388176628,,,,47.2075996133601,13.3426332323812,155.414391998143
54329,"New Mexico","2020-08-22",0.71982542096066,0.185341308717585,2.21819901550796,649.993674851872,577.982013472687,806.783121781214,0.71982542096066,0.185341308717585,2.21819901550796,649.993674851872,577.982013472687,806.783121781214,"projected",-7.59257930753463,,,,46.2147141296265,13.1687791337259,152.852707424702
54330,"New Mexico","2020-08-23",0.692123403496497,0.178597080360152,2.16107078251433,650.685798255368,578.199134170525,808.050009746622,0.692123403496497,0.178597080360152,2.16107078251433,650.685798255368,578.199134170525,808.050009746622,"projected",-7.38042058616742,,,,45.2797351648838,13.0135875131586,150.41746367329
54331,"New Mexico","2020-08-24",0.666052097407048,0.172140728007469,2.10683159393786,651.351850352775,578.410021227343,810.685591552794,0.666052097407048,0.172140728007469,2.10683159393786,651.351850352775,578.410021227343,810.685591552794,"projected",-7.17059069472913,,,,44.3994852028654,12.8920493221609,148.104279233725
54332,"New Mexico","2020-08-25",0.641523495963468,0.166806351513236,2.05467987754178,651.993373848739,578.615083447198,813.86953632768,0.641523495963468,0.166806351513236,2.05467987754178,651.993373848739,578.615083447198,813.86953632768,"projected",-6.96311073361268,,,,43.5709259780864,12.7754129366716,145.908433794812
54333,"New Mexico","2020-08-26",0.618424631888703,0.160863710143138,2.00441832195451,652.611798480627,578.814702435556,817.012047738069,0.618424631888703,0.160863710143138,2.00441832195451,652.611798480627,578.814702435556,817.012047738069,"projected",-6.75799994862808,,,,42.7773974383583,12.6427415525191,144.218600544892
54334,"New Mexico","2020-08-27",0.596622715194375,0.155368702220093,1.92905161604936,653.208421195822,579.009233756167,820.099438957575,0.596622715194375,0.155368702220093,1.92905161604936,653.208421195822,579.009233756167,820.099438957575,"projected",-6.55527575544506,,,,42.0243555307759,12.5104308159323,141.923325284536
54335,"New Mexico","2020-08-28",0.576039127805964,0.151498269683486,1.81966157148267,653.784460323628,579.199021169887,823.133429226188,0.576039127805964,0.151498269683486,1.81966157148267,653.784460323628,579.199021169887,823.133429226188,"projected",-6.35495376624969,,,,41.3434204633481,12.4045514938596,139.823663352081
54336,"New Mexico","2020-08-29",0.556638798468604,0.147192495933095,1.73255948488942,654.341099122096,579.384417532881,825.337141973524,0.556638798468604,0.147192495933095,1.73255948488942,654.341099122096,579.384417532881,825.337141973524,"projected",-6.15704781848461,,,,40.723728962969,12.2939872035873,137.859265597805
