"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
82505,"Utah","2020-05-02",567,3,3,3,49,49,49,1.9198774538858,1.9198774538858,1.9198774538858,50.1084621332185,50.1084621332185,50.1084621332185,"observed",-34.74869,"observed",3629.71548067409,156.999999999999,,,
82506,"Utah","2020-05-03",567,1,1,1,50,50,50,1.953222803042,1.953222803042,1.953222803042,52.0616849362605,52.0616849362605,52.0616849362605,"observed",-34.06413,"observed",3608.64754387444,190,,,
82507,"Utah","2020-05-04",567,0,0,0,50,50,50,1.9851806630242,1.9851806630242,1.9851806630242,54.0468655992847,54.0468655992847,54.0468655992847,"observed",-33.45527,"observed",3605.53186261568,141.999999999999,,,
82508,"Utah","2020-05-05",567,6,6,6,56,56,56,2.0152936521122,2.0152936521122,2.0152936521122,56.0621592513969,56.0621592513969,56.0621592513969,"observed",-32.92925,"observed",3612.60938026457,132.000000000004,,,
82509,"Utah","2020-05-06",567,2,2,2,58,58,58,2.0431079626013,2.0431079626013,2.0431079626013,58.1052672139982,58.1052672139982,58.1052672139982,"observed",-32.48639,"observed",3621.75304063196,145.999999999996,,,
82510,"Utah","2020-05-07",567,3,3,3,61,61,61,2.068255459459,2.068255459459,2.068255459459,60.1735226734572,60.1735226734572,60.1735226734572,"observed",-32.12622,"observed",3625.99606512912,129,,,
82511,"Utah","2020-05-08",567,0,0,0,61,61,61,2.0904564197048,2.0904564197048,2.0904564197048,62.263979093162,62.263979093162,62.263979093162,"observed",-31.84802,"observed",3620.61610141391,195.000000000002,,,
82512,"Utah","2020-05-09",567,5,5,5,66,66,66,2.10957425920331,2.10957425920331,2.10957425920331,64.3735533523653,64.3735533523653,64.3735533523653,"observed",-31.64589,"observed",3603.63311807865,183.999999999997,,,
82513,"Utah","2020-05-10",567,1,1,1,67,67,67,2.1255953614383,2.1255953614383,2.1255953614383,66.4991487138036,66.4991487138036,66.4991487138036,"observed",-31.50112,"observed",3575.68532090962,148,,,
82514,"Utah","2020-05-11",567,1,1,1,68,68,68,2.13854353735159,2.13854353735159,2.13854353735159,68.6376922511552,68.6376922511552,68.6376922511552,"observed",-31.37368,"observed",3539.35778912771,111.000000000004,,,
82515,"Utah","2020-05-12",567,5,5,5,73,73,73,2.14845940616409,2.14845940616409,2.14845940616409,70.7861516573193,70.7861516573193,70.7861516573193,"observed",-31.21269,"observed",3498.21250451462,69.9999999999991,,,
82516,"Utah","2020-05-13",567,2,2,2,75,75,75,2.15541994472751,2.15541994472751,2.15541994472751,72.9415716020468,72.9415716020468,72.9415716020468,"observed",-30.97666,"observed",3455.83418997042,188,,,
82517,"Utah","2020-05-14",567,0,0,0,75,75,75,2.15963563812959,2.15963563812959,2.15963563812959,75.1012072401764,75.1012072401764,75.1012072401764,"observed",-30.6438,"observed",3415.13714067524,129.000000000001,,,
82518,"Utah","2020-05-15",567,2,2,2,77,77,77,2.1613791548817,2.1613791548817,2.1613791548817,77.2625863950581,77.2625863950581,77.2625863950581,"observed",-30.21596,"observed",3378.00549758378,163.999999999998,,,
82519,"Utah","2020-05-16",567,1,1,1,78,78,78,2.16093325945761,2.16093325945761,2.16093325945761,79.4235196545157,79.4235196545157,79.4235196545157,"observed",-29.72195,"observed",3345.23301396724,155.000000000002,,,
82520,"Utah","2020-05-17",567,2,2,2,80,80,80,2.1585565726502,2.1585565726502,2.1585565726502,81.5820762271659,81.5820762271659,81.5820762271659,"observed",-29.21086,"observed",3316.69141599896,169.999999999999,,,
82521,"Utah","2020-05-18",567,0,0,0,80,80,80,2.15445909306911,2.15445909306911,2.15445909306911,83.736535320235,83.736535320235,83.736535320235,"observed",-28.73475,"observed",3291.65719203269,145.999999999997,,,
82522,"Utah","2020-05-19",567,8,8,8,88,88,88,2.1488103463894,2.1488103463894,2.1488103463894,85.8853456666244,85.8853456666244,85.8853456666244,"observed",-28.33482,"observed",3269.19407206227,134.000000000005,,,
82523,"Utah","2020-05-20",567,2,2,2,90,90,90,2.1418001488169,2.1418001488169,2.1418001488169,88.0271458154413,88.0271458154413,88.0271458154413,"observed",-28.03582,"observed",3248.47123534349,191.999999999995,,,
82524,"Utah","2020-05-21",567,2,2,2,92,92,92,2.1336712448695,2.1336712448695,2.1336712448695,90.1608170603108,90.1608170603108,90.1608170603108,"observed",-27.84358,"observed",3228.93099022239,164.000000000001,,,
