County;Population
Cook, Illinois;5150233,00
Crawford, Illinois;18667,00
Cumberland, Illinois;10766,00
DeKalb, Illinois;104897,00
De Witt, Illinois;15638,00
Douglas, Illinois;19465,00
DuPage, Illinois;922921,00
Edgar, Illinois;17161,00
Edwards, Illinois;6395,00
Effingham, Illinois;34008,00
Fayette, Illinois;21336,00
Ford, Illinois;12961,00
Franklin, Illinois;38469,00
Fulton, Illinois;34340,00
Gallatin, Illinois;4828,00
Greene, Illinois;12969,00
Grundy, Illinois;51054,00
Hamilton, Illinois;8116,00
Hancock, Illinois;17708,00
Hardin, Illinois;3821,00
Henderson, Illinois;6646,00
Henry, Illinois;48913,00
Iroquois, Illinois;27114,00
Jackson, Illinois;56750,00
Jasper, Illinois;9610,00
Jefferson, Illinois;37684,00
Jersey, Illinois;21773,00
Jo Daviess, Illinois;21235,00
Johnson, Illinois;12417,00
Kane, Illinois;532403,00
Kankakee, Illinois;109862,00
Kendall, Illinois;128990,00
Knox, Illinois;49699,00
Lake, Illinois;696535,00
LaSalle, Illinois;108669,00
Lawrence, Illinois;15678,00
Lee, Illinois;34096,00
Livingston, Illinois;35648,00
Logan, Illinois;28618,00
McDonough, Illinois;29682,00
McHenry, Illinois;307774,00
McLean, Illinois;171517,00
Macon, Illinois;104009,00
Macoupin, Illinois;44926,00
Madison, Illinois;262966,00
Marion, Illinois;37205,00
Marshall, Illinois;11438,00
Mason, Illinois;13359,00
Massac, Illinois;13772,00
Menard, Illinois;12196,00
Mercer, Illinois;15437,00
Monroe, Illinois;34637,00
Montgomery, Illinois;28414,00
Morgan, Illinois;33658,00
Moultrie, Illinois;14501,00
Ogle, Illinois;50643,00
Peoria, Illinois;179179,00
Perry, Illinois;20916,00
Piatt, Illinois;16344,00
Pike, Illinois;15561,00
Pope, Illinois;4177,00
Pulaski, Illinois;5335,00
Putnam, Illinois;5739,00
Randolph, Illinois;31782,00
Richland, Illinois;15513,00
Rock Island, Illinois;141879,00
St Clair, Illinois;259686,00
Saline, Illinois;23491,00
Sangamon, Illinois;194672,00
Schuyler, Illinois;6768,00
Scott, Illinois;4951,00
Shelby, Illinois;21634,00
Stark, Illinois;5342,00
Stephenson, Illinois;44498,00
Tazewell, Illinois;131803,00
Union, Illinois;16653,00
Vermilion, Illinois;75758,00
Wabash, Illinois;11520,00
Warren, Illinois;16844,00
Washington, Illinois;13887,00
Wayne, Illinois;16215,00
White, Illinois;13537,00
Whiteside, Illinois;55175,00
Will, Illinois;690743,00
Williamson, Illinois;66597,00
Winnebago, Illinois;282572,00
Woodford, Illinois;38459,00
Adams, Indiana;35777,00
Allen, Indiana;379299,00
Bartholomew, Indiana;83779,00
Benton, Indiana;8748,00
Blackford, Indiana;11758,00
Boone, Indiana;67843,00
Brown, Indiana;15092,00
Carroll, Indiana;20257,00
Cass, Indiana;37689,00
Clark, Indiana;118302,00
Clay, Indiana;26225,00
Clinton, Indiana;32399,00
Crawford, Indiana;10577,00
Daviess, Indiana;33351,00
Dearborn, Indiana;49458,00
Decatur, Indiana;26559,00
DeKalb, Indiana;43475,00
Delaware, Indiana;114135,00
Dubois, Indiana;42736,00
Elkhart, Indiana;206341,00
Fayette, Indiana;23102,00
Floyd, Indiana;78522,00
Fountain, Indiana;16346,00
Franklin, Indiana;22758,00
Fulton, Indiana;19974,00
Gibson, Indiana;33659,00
Grant, Indiana;65769,00
Greene, Indiana;31922,00
Hamilton, Indiana;338011,00
Hancock, Indiana;78168,00
Harrison, Indiana;40515,00
Hendricks, Indiana;170311,00
Henry, Indiana;47972,00
Howard, Indiana;82544,00
Huntington, Indiana;36520,00
Jackson, Indiana;44231,00
Jasper, Indiana;33562,00
Jay, Indiana;20436,00
Jefferson, Indiana;32308,00
Jennings, Indiana;27735,00
Johnson, Indiana;158167,00
Knox, Indiana;36594,00
Kosciusko, Indiana;79456,00
LaGrange, Indiana;39614,00
Lake, Indiana;485493,00
LaPorte, Indiana;109888,00
Lawrence, Indiana;45370,00
Madison, Indiana;129569,00
Marion, Indiana;964582,00
Marshall, Indiana;46258,00
Martin, Indiana;10255,00
Miami, Indiana;35516,00
Monroe, Indiana;148431,00
Montgomery, Indiana;38338,00
Morgan, Indiana;70489,00
Newton, Indiana;13984,00
Noble, Indiana;47744,00
Ohio, Indiana;5875,00
Orange, Indiana;19646,00
Owen, Indiana;20799,00
Parke, Indiana;16937,00
Perry, Indiana;19169,00
Pike, Indiana;12389,00
Porter, Indiana;170389,00
Posey, Indiana;25427,00
Pulaski, Indiana;12353,00
Putnam, Indiana;37576,00
Randolph, Indiana;24665,00
Ripley, Indiana;28324,00
Rush, Indiana;16581,00
St Joseph, Indiana;271826,00
Scott, Indiana;23873,00
Shelby, Indiana;44729,00
Spencer, Indiana;20277,00
Starke, Indiana;22995,00
Steuben, Indiana;34594,00
Sullivan, Indiana;20669,00
Switzerland, Indiana;10751,00
Tippecanoe, Indiana;195732,00
Tipton, Indiana;15148,00
Union, Indiana;7054,00
Vanderburgh, Indiana;181451,00
Vermillion, Indiana;15498,00
Vigo, Indiana;107038,00
Wabash, Indiana;30996,00
Warren, Indiana;8265,00
Warrick, Indiana;62998,00
Washington, Indiana;28036,00
Wayne, Indiana;65884,00
Wells, Indiana;28296,00
White, Indiana;24102,00
Whitley, Indiana;33964,00
Adair, Iowa;7152,00
Adams, Iowa;3602,00
Allamakee, Iowa;13687,00
Appanoose, Iowa;12426,00
Audubon, Iowa;5496,00
Benton, Iowa;25645,00
Black Hawk, Iowa;131228,00
Boone, Iowa;26234,00
Bremer, Iowa;25062,00
Buchanan, Iowa;21175,00
Buena Vista, Iowa;19620,00
Butler, Iowa;14439,00
Calhoun, Iowa;9668,00
Carroll, Iowa;20165,00
Cass, Iowa;12836,00
Cedar, Iowa;18627,00
Cerro Gordo, Iowa;42450,00
Cherokee, Iowa;11235,00
Chickasaw, Iowa;11933,00
Clarke, Iowa;9395,00
Clay, Iowa;16016,00
Clayton, Iowa;17549,00
Clinton, Iowa;46429,00
Crawford, Iowa;16820,00
Dallas, Iowa;93453,00
Davis, Iowa;9000,00
Decatur, Iowa;7870,00
Delaware, Iowa;17011,00
Des Moines, Iowa;38967,00
Dickinson, Iowa;17258,00
Dubuque, Iowa;97311,00
Emmet, Iowa;9208,00
Fayette, Iowa;19650,00
Floyd, Iowa;15642,00
Franklin, Iowa;10070,00
Fremont, Iowa;6960,00
Greene, Iowa;8888,00
Grundy, Iowa;12232,00
Guthrie, Iowa;10689,00
Hamilton, Iowa;14773,00
Hancock, Iowa;10630,00
Hardin, Iowa;16846,00
Harrison, Iowa;14049,00
Henry, Iowa;19954,00
Howard, Iowa;9158,00
Humboldt, Iowa;9558,00
Ida, Iowa;6860,00
Iowa, Iowa;16184,00
Jackson, Iowa;19439,00
Jasper, Iowa;37185,00
Jefferson, Iowa;18295,00
Johnson, Iowa;151140,00
Jones, Iowa;20681,00
Keokuk, Iowa;10246,00
Kossuth, Iowa;14813,00
Lee, Iowa;33657,00
Linn, Iowa;226706,00
Louisa, Iowa;11035,00
Lucas, Iowa;8600,00
Lyon, Iowa;11755,00
Madison, Iowa;16338,00
Mahaska, Iowa;22095,00
Marion, Iowa;33253,00
Marshall, Iowa;39369,00
Mills, Iowa;15109,00
Mitchell, Iowa;10586,00
Monona, Iowa;8615,00
Monroe, Iowa;7707,00
Montgomery, Iowa;9917,00
Muscatine, Iowa;42664,00
O'Brien, Iowa;13753,00
Osceola, Iowa;5958,00
Page, Iowa;15107,00
Palo Alto, Iowa;8886,00
Plymouth, Iowa;25177,00
Pocahontas, Iowa;6619,00
Polk, Iowa;490161,00
Pottawattamie, Iowa;93206,00
Poweshiek, Iowa;18504,00
Ringgold, Iowa;4894,00
Sac, Iowa;9721,00
Scott, Iowa;172943,00
Shelby, Iowa;11454,00
Sioux, Iowa;34855,00
Story, Iowa;97117,00
Tama, Iowa;16854,00
Taylor, Iowa;6121,00
Union, Iowa;12241,00
Van Buren, Iowa;7044,00
Wapello, Iowa;34969,00
Warren, Iowa;51466,00
Washington, Iowa;21965,00
Wayne, Iowa;6441,00
Webster, Iowa;35904,00
Winnebago, Iowa;10354,00
Winneshiek, Iowa;19991,00
Woodbury, Iowa;103107,00
Worth, Iowa;7381,00
Wright, Iowa;12562,00
Allen, Kansas;12369,00
Anderson, Kansas;7858,00
Atchison, Kansas;16073,00
Barber, Kansas;4427,00
Barton, Kansas;25779,00
