"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54294,"New Mexico","2020-07-18",4.06517934529663,1.63690710726533,9.18906224812081,585.215942487941,555.756577700755,633.835279572053,4.06517934529663,1.63690710726533,9.18906224812081,585.215942487941,555.756577700755,633.835279572053,"projected",-16.6561220036097,,,,382.18437107068,95.8967297155759,1111.81867623669
54295,"New Mexico","2020-07-19",4.04786720587444,1.5703131865228,9.25488716197157,589.263809693816,557.280375678631,643.892391694915,4.04786720587444,1.5703131865228,9.25488716197157,589.263809693816,557.280375678631,643.892391694915,"projected",-16.4375674646436,,,,377.540138559303,93.6651524505694,1114.50106551747
54296,"New Mexico","2020-07-20",4.02700011549747,1.51073311698165,9.39460878378511,593.290809809313,558.884201997401,652.812245901256,4.02700011549747,1.51073311698165,9.39460878378511,593.290809809313,558.884201997401,652.812245901256,"projected",-16.2193890576719,,,,372.820388516395,91.230650837149,1100.19246242256
54297,"New Mexico","2020-07-21",4.00330037531845,1.45454960418166,9.64902749724283,597.294110184632,560.463834290301,662.017936641984,4.00330037531845,1.45454960418166,9.64902749724283,597.294110184632,560.463834290301,662.017936641984,"projected",-16.0016500095439,,,,368.026759337549,88.3885773502639,1105.31559107197
54298,"New Mexico","2020-07-22",3.97602704882744,1.40405874236195,9.90409106288355,601.270137233459,561.993451339667,672.590464563203,3.97602704882744,1.40405874236195,9.90409106288355,601.270137233459,561.993451339667,672.590464563203,"projected",-15.7844130005781,,,,363.387138930667,86.043242619012,1111.36126860906
54299,"New Mexico","2020-07-23",3.94443019247242,1.34982510210149,10.1223662089391,605.214567425932,563.446343373293,684.164776815937,3.94443019247242,1.34982510210149,10.1223662089391,605.214567425932,563.446343373293,684.164776815937,"projected",-15.5677400920556,,,,358.970855000379,84.066119553952,1111.46584716474
54300,"New Mexico","2020-07-24",3.90981449920708,1.30292235400623,10.2768314859018,609.124381925139,564.760175865517,693.263476089991,3.90981449920708,1.30292235400623,10.2768314859018,609.124381925139,564.760175865517,693.263476089991,"projected",-15.3516926553537,,,,354.416630292746,81.9818419146002,1077.38346574922
54301,"New Mexico","2020-07-25",3.87474582859988,1.25805704350395,10.3513528042417,612.999127753739,566.034046269777,703.175097717265,3.87474582859988,1.25805704350395,10.3513528042417,612.999127753739,566.034046269777,703.175097717265,"projected",-15.1363313028867,,,,349.682796475483,78.3058473613695,1074.20888218038
54302,"New Mexico","2020-07-26",3.84019184070825,1.2146313149179,10.409593968757,616.839319594447,567.117169485089,714.553469587135,3.84019184070825,1.2146313149179,10.409593968757,616.839319594447,567.117169485089,714.553469587135,"projected",-14.9217158210194,,,,344.934407704156,74.3276915858267,1049.96224441258
54303,"New Mexico","2020-07-27",3.80557103268204,1.1724940509175,10.4735647421731,620.644890627129,568.102006094618,726.158203229277,3.80557103268204,1.1724940509175,10.4735647421731,620.644890627129,568.102006094618,726.158203229277,"projected",-14.7079051051019,,,,340.203227079539,72.3148551709368,1021.64880755062
54304,"New Mexico","2020-07-28",3.77095740208107,1.1329459145202,10.5262697504069,624.41584802921,569.420160295775,735.577409000286,3.77095740208107,1.1329459145202,10.5262697504069,624.41584802921,569.420160295775,735.577409000286,"projected",-14.4949570967759,,,,335.518322653055,70.4877587245544,1013.06987071013
