"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4935,"Arizona","2020-03-13",525,0,0,0,0,0,0,0.037267780959778,0.037267780959778,0.037267780959778,0.311754496635297,0.311754496635297,0.311754496635297,"observed",-8.917718,"observed",21.241436177052,0,,,
4936,"Arizona","2020-03-14",525,0,0,0,0,0,0,0.049578386499316,0.049578386499316,0.049578386499316,0.361332883134613,0.361332883134613,0.361332883134613,"observed",-11.7217,"observed",24.8268539838926,3.00000000000001,,,
4937,"Arizona","2020-03-15",525,0,0,0,0,0,0,0.066744164129536,0.066744164129536,0.066744164129536,0.428077047264149,0.428077047264149,0.428077047264149,"observed",-14.86642,"observed",29.3459315347259,1,,,
4938,"Arizona","2020-03-16",525,0,0,0,0,0,0,0.090743729708859,0.090743729708859,0.090743729708859,0.518820776973008,0.518820776973008,0.518820776973008,"observed",-18.28058,"observed",35.5789285051067,4.99999999999999,,,
4939,"Arizona","2020-03-17",525,0,0,0,0,0,0,0.124265079618505,0.124265079618505,0.124265079618505,0.643085856591513,0.643085856591513,0.643085856591513,"observed",-21.84037,"observed",45.1702929626732,2.00000000000001,,,
4940,"Arizona","2020-03-18",525,0,0,0,0,0,0,0.170883115665792,0.170883115665792,0.170883115665792,0.813968972257305,0.813968972257305,0.813968972257305,"observed",-25.3909,"observed",61.4051464798981,6.99999999999997,,,
4941,"Arizona","2020-03-19",525,0,0,0,0,0,0,0.235204356975375,0.235204356975375,0.235204356975375,1.04917332923268,1.04917332923268,1.04917332923268,"observed",-28.77769,"observed",90.6009906895147,18.0000000000001,,,
4942,"Arizona","2020-03-20",525,0,0,0,0,0,0,0.32295135057046,0.32295135057046,0.32295135057046,1.37212467980314,1.37212467980314,1.37212467980314,"observed",-31.87996,"observed",144.246242488013,33,,,
4943,"Arizona","2020-03-21",525,1,1,1,1,1,1,0.44086060838834,0.44086060838834,0.44086060838834,1.81298528819148,1.81298528819148,1.81298528819148,"observed",-34.62306,"observed",240.751637283053,40,,,
4944,"Arizona","2020-03-22",525,1,1,1,2,2,2,0.59654485978441,0.59654485978441,0.59654485978441,2.40953014797589,2.40953014797589,2.40953014797589,"observed",-36.97781,"observed",402.730297154353,33.9999999999999,,,
4945,"Arizona","2020-03-23",525,0,0,0,2,2,2,0.79820459790796,0.79820459790796,0.79820459790796,3.20773474588385,3.20773474588385,3.20773474588385,"observed",-38.95289,"observed",644.744436378673,83.0000000000003,,,
