"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54371,"New Mexico","2020-10-03",95.7817251198148,0,428.575,28.1643476989514,0,121.1375,25.3677512261431,0,111.525,13.1027720799625,0,58.05,3.90265084686555,0,17,0,0,0,0,0,4.13749999999987,2.86788322840045,0.323606048021617,12.375580911429,815.987791630796,609.347570335485,1374.80221506347,2.86788322840045,0.323606048021617,12.375580911429,815.987791630796,609.347570335485,1374.80221506347,"projected",-0.843887155434662,"projected",7944.55468206894,,422.026496478145,38.4862594784981,1970.97355912302
54372,"New Mexico","2020-10-04",97.0468894014482,0,435.5125,28.4936634248105,0,122.6375,25.6600223247341,0,113.025,13.5555250451346,0,64.55,3.95792134009781,0,17.0125,0,0,0,0,0,5.63749999999987,2.90056182719309,0.324728269243738,12.6511650965891,818.888353457989,609.577683976201,1387.9230876964,2.90056182719309,0.324728269243738,12.6511650965891,818.888353457989,609.577683976201,1387.9230876964,"projected",-0.755855220841969,"projected",7982.02899660701,,431.41609625779,38.8679976476124,2016.50933700599
54373,"New Mexico","2020-10-05",98.7006785340477,0,453.0875,28.8997353577795,0,127.075,26.0273883764112,0,115.5125,13.7337829165116,0,64.5125,4.04344496141114,0,18.5125,0,0,0,0,0,10.0749999999999,2.93563027902493,0.326340415478566,12.9795482131529,821.823983737014,609.807423512403,1401.28876156733,2.93563027902493,0.326340415478566,12.9795482131529,821.823983737014,609.807423512403,1401.28876156733,"projected",-0.6739061574847,"projected",8019.50331114505,,441.226224841579,39.2481394533534,2074.05789913994
54374,"New Mexico","2020-10-06",100.065634618078,0,456.7625,29.3204223727253,0,132.0375,26.4138210116681,0,118.5375,13.7498498339079,0,60.5,4.11045600012732,0,19.5,0,0,0,0,0,15.0375,2.97303920927039,0.327314163074891,13.3372897433926,824.797022946285,610.036900019285,1417.16855220865,2.97303920927039,0.327314163074891,13.3372897433926,824.797022946285,610.036900019285,1417.16855220865,"projected",-0.598372854534549,"projected",8056.97762568312,,451.484230998167,39.650067389675,2134.22606978497
54375,"New Mexico","2020-10-07",101.466533997457,0,460.125,29.7377297836151,0,136.025,26.7884231500526,0,122.025,13.9367992691132,0,62.5874999999999,4.17970428982782,0,19,0,0,0,0,0,19.025,3.01317299636086,0.326211999808257,13.6088621507691,827.810195942646,610.266239896545,1435.54402403745,3.01317299636086,0.326211999808257,13.6088621507691,827.810195942646,610.266239896545,1435.54402403745,"projected",-0.529098470818411,"projected",8094.45194022119,,461.542620168415,40.0184451485868,2197.07268573234
54376,"New Mexico","2020-10-08",102.890880747765,0,460.5625,30.1649086667418,0,137.525,27.1833116515021,0,125.0125,14.1327546344995,0,67.5125,4.22765070566688,0,19,0,0,0,0,0,20.525,3.05662051034807,0.326162635725117,13.8931496310305,830.866816452994,610.495568998942,1454.3930425915,3.05662051034807,0.326162635725117,13.8931496310305,830.866816452994,610.495568998942,1454.3930425915,"projected",-0.464895775947079,"projected",8131.92625475924,,471.40444924338,40.4070166292018,2275.45588851783
54377,"New Mexico","2020-10-09",104.35895787252,0,462.0125,30.6028595771875,0,140.5,27.5827990348704,0,127.0125,14.4717387356108,0,65,4.29336641724289,0,20,0,0,0,0,0,23.5,3.10219930390897,0.328241739855187,14.1823930920176,833.969015756903,610.724779940948,1469.03012473883,3.10219930390897,0.328241739855187,14.1823930920176,833.969015756903,610.724779940948,1469.03012473883,"projected",-0.405776402306705,"projected",8169.40056929731,,482.434395098527,40.8270592786255,2361.85502323811
54378,"New Mexico","2020-10-10",106.244027958806,0,483.0375,31.0654505705895,0,141.0625,28.014371855677,0,128.1,14.9071551513029,0,70.025,4.38571523672406,0,21,0,0,0,0,0,24.0624999999999,3.14852209196637,0.329352808593274,14.4491805872184,837.117537848869,610.953790299411,1476.81142052273,3.14852209196637,0.329352808593274,14.4491805872184,837.117537848869,610.953790299411,1476.81142052273,"projected",-0.353092630511243,"projected",8206.87488383538,,494.63202367404,41.3287590813707,2456.93930208869
54379,"New Mexico","2020-10-11",107.773382121147,0,489.7,31.6046396844985,0,145,28.4943026378034,0,131.075,15.0095717965858,0,70.1124999999999,4.46040511065732,0,21.0125,0,0,0,0,0,28,3.19648147960604,0.329904571623925,14.6721517522512,840.314019328475,611.182987027655,1487.36016193262,3.19648147960604,0.329904571623925,14.6721517522512,840.314019328475,611.182987027655,1487.36016193262,"projected",-0.306529453099035,"projected",8244.34919837342,,507.3260073347,41.8548131648451,2538.00836867259
54380,"New Mexico","2020-10-12",109.456781079786,0,494.525,32.1145610077831,0,146.075,28.9685874497235,0,133.05,15.3510029920243,0,73.0083333333333,4.52974970454382,0,21.5125,0,0,0,0,0,29.0749999999999,3.24749782202125,0.330686706051634,14.9397139572269,843.561517150496,611.413076635544,1502.77498724412,3.24749782202125,0.330686706051634,14.9397139572269,843.561517150496,611.413076635544,1502.77498724412,"projected",-0.264459497033658,"projected",8281.82351291149,,520.577915479918,42.4088545949431,2602.35204036722
54381,"New Mexico","2020-10-13",111.60578829311,0,510.0125,32.6711854288685,0,151.025,29.4786416218585,0,135.5875,15.8369061367855,0,78.5999999999999,4.64571256757948,0,22.5125,0,0,0,0,0,34.025,3.30152493405463,0.331308461755353,15.3052219457611,846.863042084551,611.647654076147,1518.56747970043,3.30152493405463,0.331308461755353,15.3052219457611,846.863042084551,611.647654076147,1518.56747970043,"projected",-0.227778285582079,"projected",8319.29782744956,,534.432100426983,42.9930724715814,2668.57608440094
54382,"New Mexico","2020-10-14",113.653997812864,0,508.337499999999,33.2325286966302,0,154.025,29.9876799485645,0,138.6125,15.8924177954656,0,74.5749999999999,4.70288665762342,0,22.0125,0,0,0,0,0,37.025,3.35905424673392,0.331817403874697,15.6877468597598,850.222096331285,611.888095041237,1534.75535524043,3.35905424673392,0.331817403874697,15.6877468597598,850.222096331285,611.888095041237,1534.75535524043,"projected",-0.195495789757958,"projected",8356.77214198761,,548.048529774338,43.5412987615797,2758.69641769298
54383,"New Mexico","2020-10-15",115.997908694397,0,523.425,33.8173764154146,0,154.0375,30.5286952974313,0,139.575,16.3344764021238,0,84.0125,4.80871257704714,0,21.525,0,0,0,0,0,37.0375,3.42086390336077,0.332935583348538,16.0793338375883,853.642960234646,612.355517612573,1551.35803804944,3.42086390336077,0.332935583348538,16.0793338375883,853.642960234646,612.355517612573,1551.35803804944,"projected",-0.167059344242195,"projected",8394.24645652568,,561.410331493371,44.053423888213,2853.78776687179
54384,"New Mexico","2020-10-16",118.305260068333,0,549,34.4756849043844,0,158.025,31.1394255036372,0,146.5375,16.6841687862619,0,84.025,4.9409593358353,0,24.5,0,0,0,0,0,41.025,3.48545969653875,0.33460839639128,16.4101734989663,857.128419931184,612.828052582448,1568.39593183878,3.48545969653875,0.33460839639128,16.4101734989663,857.128419931184,612.828052582448,1568.39593183878,"projected",-0.141790297167967,"projected",8431.72077106372,,576.282392328954,44.6646161554847,2940.32652637047
